OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,X,Y
211982709,263,Norfolk Ave & Fairmont St,32000,38.988562,-77.096539,391636.2322,146740.8977
211982710,264,E Montgomery Ave & Maryland Ave,32007,39.084125,-77.151291,386910.3144,157355.8713
211982711,265,Cordell & Norfolk Ave,32008,38.98954,-77.098029,391507.261,146849.6029
211982712,266,Frederick Ave & Horners Ln,32009,39.094772,-77.145213,387438.0622,158536.9647
211982713,267,Philadelphia & Maple Ave,32010,38.98128,-77.011336,399017.792,145928.1627
211982714,268,Maple & Ritchie Ave,32011,38.983627,-77.006311,399453.2013,146188.6606
211982715,269,Silver Spring Metro/Colesville Rd & Wayne Ave,32012,38.99521,-77.02918,397472.1925,147474.8737
211982716,270,Montgomery & East Ln,32013,38.983525,-77.095367,391737.1856,146181.6346
211982717,271,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,392546.6611,143765.0395
211982718,272,14th & Belmont St NW,31119,38.921074,-77.031887,397234.8156,139245.1718
211982719,273,3rd & Tingey St SE,31634,38.87501,-77.0024,399791.7418,134131.22
211982720,274,10th & Florida Ave NW,31120,38.920387,-77.025672,397773.748,139168.7391
211982721,275,Potomac Ave & 8th St SE,31635,38.876737,-76.994468,400480.0235,134322.9419
211982722,276,Crabbs Branch Way & Redland Rd,32015,39.120045,-77.156985,386424.5277,161344.2744
211982723,277,Fallsgrove Dr & W Montgomery Ave,32016,39.099376,-77.188014,383736.5343,159054.8233
211982724,278,Monroe St & Monroe Pl,32017,39.083673,-77.149162,387094.4331,157305.3907
211982725,279,Needwood Rd & Eagles Head Ct,32018,39.123513,-77.15741,386388.4392,161729.3311
211982726,280,East West Hwy & Blair Mill Rd,32019,38.990249,-77.02935,397457.2886,146924.1578
211982727,281,Crabbs Branch Way & Calhoun Pl,32020,39.107709,-77.152072,386847.1038,159974.1002
211982728,282,47th & Elm St,32021,38.982456,-77.091991,392029.5703,146062.6651
211982729,283,Dennis & Amherst Ave,32022,39.025387,-77.044563,396141.228,150825.3728
211982730,284,Montgomery College/W Campus Dr & Mannakee St,32023,39.095661,-77.159048,386241.4112,158637.6492
211982731,285,Fenton St & Gist Ave,32024,38.989724,-77.023854,397933.4145,146865.7388
211982732,286,Carroll & Westmoreland Ave,32025,38.975,-77.01121,399028.6236,145231.0206
211982733,287,Carroll & Ethan Allen Ave,32026,38.977933,-77.006472,399439.207,145556.5721
211982734,288,Battery Ln & Trolley Trail,32027,38.992375,-77.100104,391327.8386,147164.511
211982735,289,Norfolk & Rugby Ave,32028,38.990639,-77.100239,391315.9317,146971.8107
211982736,290,Offutt Ln & Chevy Chase Dr,32029,38.977093,-77.094589,391803.8535,145467.5504
211982737,291,Broschart & Blackwell Rd,32030,39.102099,-77.200322,382672.5406,159359.3747
211982738,292,Taft St & E Gude Dr,32031,39.094103,-77.132954,388498.4423,158461.0817
211982739,293,Fleet St & Ritchie Pkwy,32032,39.076331,-77.141378,387766.6457,156489.2688
211982740,294,Piccard & W Gude Dr,32033,39.102212,-77.177091,384681.9981,159367.7653
211982741,295,Ripley & Bonifant St,32034,38.992679,-77.029457,397448.1058,147193.915
211982742,296,Georgia Ave & Spring St,32035,38.999388,-77.031555,397266.6111,147938.7423
211982743,297,Fenton St & Ellsworth Dr,32036,38.997033,-77.025608,397781.6847,147677.1522
211982744,298,King Farm Blvd & Pleasant Dr,32037,39.114688,-77.171487,385169.3335,160751.8343
211982745,299,King Farm Blvd & Piccard Dr,32038,39.110314,-77.182669,384201.3131,160268.1402
211982746,301,Calvert St & Woodley Pl NW,31121,38.923583,-77.050046,395660.2519,139524.3987
211982747,302,New Jersey Ave & N St NW/Dunbar HS,31636,38.90706,-77.015231,398678.935,137689.1288
211982748,303,Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,405910.6742,136744.9916
211982749,304,Deanwood Rec Center,31711,38.908473,-76.933099,405802.5615,137847.9993
211982750,305,Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,397376.9402,134511.6305
211982751,306,Arlington Blvd & Fillmore St,31070,38.873755,-77.089233,392256.7382,133995.6873
211982752,307,Long Bridge Park/Long Bridge Dr & 6th St S,31071,38.86646,-77.04826,395811.773,133183.2107
211982753,308,Old Georgetown Rd & Southwick St,32039,38.999634,-77.109647,390502.0823,147971.2824
211982754,309,Friendship Blvd & Willard Ave,32040,38.96115,-77.088659,392315.9696,143697.2115
211982755,310,North Capitol St & G Pl NE,31637,38.899703,-77.008911,399227.0222,136872.3698
211982756,311,31st & Woodrow St S,31072,38.837666,-77.09482,391767.761,129990.0404
211982757,312,Washington Blvd & Walter Reed Dr,31073,38.873219,-77.082104,392875.3089,133935.6068
211982758,313,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074,38.869418,-77.095596,391704.08,133514.8072
211982759,314,Connecticut Ave & Tilden St NW,31313,38.941154,-77.062036,394621.8626,141475.57
211982760,315,Medical Center Dr & Key West Ave,32041,39.103091,-77.196442,383008.3894,159468.7697
211982761,316,Shady Grove Hospital,32042,39.097636,-77.196636,382990.3046,158863.2331
211982762,317,Veterans Pl & Pershing Dr,32043,38.997445,-77.023894,397930.1735,147722.8481
211982763,318,Rockville Metro East,32044,39.085394,-77.145803,387385.3603,157495.9731
211982764,319,1st & H St NW,31638,38.900358,-77.012108,398949.7106,136945.112
211982765,320,Fort Totten Metro,31515,38.952369,-77.002721,399764.1432,142718.7119
211982766,321,Takoma Metro,31408,38.975219,-77.016855,398539.4739,145255.4069
211982767,322,Rhode Island Ave Metro,31516,38.920682,-76.995876,400357.628,139201.1816
211982768,323,Rolfe St & 9th St S,31075,38.866471,-77.076131,393392.9996,133186.0797
211982769,324,Shirlington Transit Center / S Quincy & Randolph St,31076,38.839912,-77.087083,392439.7222,130238.6925
211982770,325,Shady Grove Metro West,32045,39.119765,-77.166093,385636.8464,161314.5845
211982771,326,River Rd & Landy Ln,32046,38.964992,-77.103381,391040.5048,144125.0512
211982772,327,Rockville Metro West,32047,39.084379,-77.146866,387293.2101,157383.4432
211982773,328,Bethesda Metro,32048,38.984691,-77.094537,391809.2327,146310.9972
211982774,329,Iwo Jima Memorial/N Meade & 14th St N,31077,38.88992,-77.071301,393814.2024,135788.7574
211982775,330,34th & Water St NW,31314,38.903663,-77.067668,394130.5181,137314.0994
211982776,331,Duke St & John Carlyle St,31081,38.804378,-77.060866,394713.171,126292.3414
211982777,332,Lee Hwy & N Cleveland St,31079,38.894941,-77.09169,392045.8923,136347.7067
211982778,333,Arlington Blvd & S George Mason Dr/NFATC,31078,38.869442,-77.104503,390931.1247,133518.3185
211982779,334,10th & G St NW,31274,38.898243,-77.026235,397724.2187,136710.5874
211982780,335,Lee Hwy & N Scott St,31080,38.897612,-77.080851,392986.4379,136643.3202
211982781,336,New Hampshire Ave & 24th St NW,31275,38.901755,-77.051084,395568.8857,137101.3604
211982782,337,Eisenhower Ave & Mill Race Ln,31082,38.801111,-77.068952,394010.5462,125930.1835
211982783,338,Potomac Greens Dr & Slaters Ln,31083,38.82175,-77.047494,395875.6679,128220.0553
211982784,339,Ballenger Ave & Dulaney St,31084,38.802677,-77.063562,394478.8647,126103.6794
211982785,340,Mount Vernon Ave & E Nelson Ave,31085,38.820064,-77.057619,394996.3049,128033.4045
211982786,341,Mount Vernon Ave & E Del Ray Ave,31086,38.82595,-77.058541,394916.6564,128686.84
211982787,342,Monroe Ave & Leslie Ave,31087,38.820932,-77.053096,395389.143,128129.5199
211982788,343,Mount Vernon Ave & Kennedy St,31088,38.833077,-77.059821,394806.0275,129478.0567
211982789,344,Court House Metro / 15th & N Uhle St,31089,38.890612,-77.084801,392643.0665,135866.5762
211982790,345,Washington Adventist U / Flower Ave & Division St,32049,38.986743,-77.000035,399996.9677,146534.5483
211982791,346,6th & S Ball St,31090,38.864702,-77.048672,395775.9137,132988.0787
211982792,347,McKinley St & Connecticut Ave NW,31315,38.964544,-77.075135,393488.3976,144072.9255
211982793,348,15th & L St NW,31276,38.90366,-77.034846,396977.4784,137312.1678
211982794,349,17th & G St NW,31277,38.89841,-77.039624,396562.7846,136729.5447
211982795,350,Spring St & Second Ave,32050,38.997653,-77.034499,397011.5202,147746.232
211982796,351,18th & R St NW,31278,38.912648,-77.041834,396371.8007,138310.1638
211982797,352,S Joyce & 16th St S,31091,38.859254,-77.063275,394508.1473,132384.0883
211982798,353,Union Market/6th St & Neal Pl NE,31517,38.908387,-76.996869,400271.5631,137836.3311
211982799,354,Lee Hwy & N Monroe St,31092,38.896456,-77.104562,390929.4394,136517.0839
211982800,355,21st St N & N Pierce St,31093,38.898984,-77.078317,393206.3848,136795.4315
211982801,356,Lee Hwy & N Kirkwood Rd,31094,38.895377,-77.09713,391574.024,136396.5942
211982802,357,19th & G St NW,31279,38.898412,-77.043182,396254.1432,136729.9067
211982803,358,2nd St & Seaton Pl NE,31522,38.914751,-77.00356,399691.2557,138542.7889
211982804,359,Wilson Blvd & N Illinois St,31902,38.876528,-77.12712,388969.4952,134307.4068
211982805,364,Army Navy Dr & S Nash St,31095,38.86215,-77.068121,394087.7864,132705.8679
211982806,365,31st & Water St NW,31293,38.902814,-77.061043,394705.1035,137219.4484
211982807,367,11th & S St NW,31280,38.913761,-77.027025,397656.1993,138433.2316
211982808,368,S Walter Reed Dr & 8th St S,31096,38.86612,-77.08787,392374.1977,133148.0312
211982809,369,2nd & G St NE,31639,38.89967,-77.003666,399681.9955,136868.6752
211982810,370,8th & O St NW,31281,38.90864,-77.02277,398025.0815,137864.6578
211982811,371,Georgia & Missouri Ave NW,31411,38.961339,-77.027855,397585.8274,143714.8292
211982812,373,Oklahoma Ave & D St NE,31712,38.894474,-76.974828,402183.6857,136292.1726
211982813,374,Maryland Ave & E St NE,31640,38.896134,-76.9929,400615.9148,136476.1686
211982814,375,New York Ave & Hecht Ave NE,31518,38.915604,-76.983683,401415.09,138637.5995
